nthread,height,width,time
1,60,100,0.044394
2,60,100,0.052977
3,60,100,0.034618
4,60,100,0.031424
5,60,100,0.027561
6,60,100,0.030375
7,60,100,0.023794
8,60,100,0.079155
1,120,200,0.249958
2,120,200,0.126219
3,120,200,0.09737
4,120,200,0.07534
5,120,200,0.061035
6,120,200,0.054169
7,120,200,0.12145
8,120,200,0.381422
1,240,400,1.057053
2,240,400,0.494957
3,240,400,0.349808
4,240,400,0.255823
5,240,400,0.200224
6,240,400,0.165415
7,240,400,0.142193
8,240,400,0.263023
1,480,800,2.998781
2,480,800,1.605177
3,480,800,1.015186
4,480,800,0.936985
5,480,800,0.743771
6,480,800,0.619173
7,480,800,0.545025
8,480,800,0.467205
1,960,1600,11.978197
2,960,1600,6.159782
3,960,1600,3.901768
4,960,1600,3.637171
5,960,1600,2.895021
6,960,1600,2.425385
7,960,1600,2.083206
8,960,1600,1.881599
1,1920,3200,40.081167
2,1920,3200,14.903784
3,1920,3200,10.043478
4,1920,3200,7.814169
5,1920,3200,9.702396
6,1920,3200,9.406424
7,1920,3200,8.438396
8,1920,3200,7.532978
1,3840,6400,118.992615
2,3840,6400,62.138605
3,3840,6400,40.125227
4,3840,6400,31.139374
5,3840,6400,36.135817
6,3840,6400,34.772396
7,3840,6400,32.754993
8,3840,6400,29.543352
1,7680,12800,460.898781
2,7680,12800,237.731171
3,7680,12800,159.762192
4,7680,12800,123.514175
5,7680,12800,129.863787
6,7680,12800,131.037188
7,7680,12800,127.407217
8,7680,12800,124.935198
1,15360,25600,1800.18239
2,15360,25600,996.683025
3,15360,25600,704.865026
4,15360,25600,529.546404
5,15360,25600,550.939369
6,15360,25600,504.294395
7,15360,25600,489.188004
8,15360,25600,489.198208
1,30720,51200,7643.523026
2,30720,51200,3993.332624
3,30720,51200,2580.520773
4,30720,51200,2110.9478
5,30720,51200,2020.636797
6,30720,51200,2003.865194
7,30720,51200,1995.777178
8,30720,51200,2001.755238